species, longitude, latitude
menziesii,-120.5041667,49.42916667
menziesii,-120.6791667,48.32083333
menziesii,-121.1541667,48.72083333
menziesii,-121.1541667,48.72916667
menziesii,-121.1958333,47.7125
menziesii,-121.2541667,49.45416667
menziesii,-121.4041667,47.72916667
menziesii,-121.4208333,49.30416667
menziesii,-121.4291667,48.52083333
menziesii,-121.4291667,49.37916667
menziesii,-121.4291667,49.3875
menziesii,-121.4541667,49.37083333
menziesii,-121.5041667,48.0625
menziesii,-121.5041667,48.37083333
menziesii,-121.5125,48.0625
menziesii,-121.5125,48.07083333
menziesii,-121.5625,48.07916667
menziesii,-121.5708333,47.40416667
menziesii,-121.5958333,47.32083333
menziesii,-121.5958333,47.8125
menziesii,-121.6041667,48.25416667
menziesii,-121.6291667,47.3625
menziesii,-121.6291667,47.8375
menziesii,-121.6291667,48.47916667
menziesii,-121.6291667,48.72916667
menziesii,-121.6375,48.95416667
menziesii,-121.6458333,47.3625
menziesii,-121.6541667,47.87083333
menziesii,-121.6625,48.89583333
menziesii,-121.6708333,48.89583333
menziesii,-121.6875,45.6875
menziesii,-121.6875,48.7125
menziesii,-121.7125,46.6375
menziesii,-121.7291667,47.15416667
menziesii,-121.7375,45.29583333
menziesii,-121.7375,45.30416667
menziesii,-121.7541667,49.17916667
menziesii,-121.7625,48.3875
menziesii,-121.7875,47.49583333
menziesii,-121.7958333,48.5625
menziesii,-121.8208333,46.5375
menziesii,-121.8375,45.34583333
menziesii,-121.8375,47.54583333
menziesii,-121.8541667,49.02916667
menziesii,-121.8625,47.39583333
menziesii,-121.8708333,45.30416667
menziesii,-121.8791667,45.82083333
menziesii,-121.8791667,47.39583333
menziesii,-121.8875,45.67083333
menziesii,-121.8958333,46.75416667
menziesii,-121.9041667,46.09583333
menziesii,-121.9125,47.39583333
menziesii,-121.9125,48.90416667
menziesii,-121.9208333,47.3875
menziesii,-121.9291667,47.4125
menziesii,-121.9375,45.64583333
menziesii,-121.9375,48.89583333
menziesii,-121.9541667,44.77916667
menziesii,-121.9541667,45.02916667
menziesii,-121.9625,44.60416667
menziesii,-121.9708333,46.05416667
menziesii,-121.9875,45.60416667
menziesii,-121.9958333,45.6125
menziesii,-122.0541667,45.59583333
menziesii,-122.0625,44.67916667
menziesii,-122.0625,45.04583333
menziesii,-122.0875,44.40416667
menziesii,-122.0958333,47.5375
menziesii,-122.1125,44.7625
menziesii,-122.1125,45.57916667
menziesii,-122.1125,46.74583333
menziesii,-122.1291667,45.57083333
menziesii,-122.1291667,49.02083333
menziesii,-122.1375,46.27083333
menziesii,-122.1458333,44.7375
menziesii,-122.1541667,46.64583333
menziesii,-122.1625,44.7375
menziesii,-122.1708333,45.55416667
menziesii,-122.1708333,45.5625
menziesii,-122.1791667,45.55416667
menziesii,-122.1791667,48.2375
menziesii,-122.1875,47.60416667
menziesii,-122.2041667,45.27916667
menziesii,-122.2291667,44.07083333
menziesii,-122.2291667,47.30416667
menziesii,-122.2458333,45.5375
menziesii,-122.2541667,45.5625
menziesii,-122.2541667,49.05416667
menziesii,-122.2958333,46.05416667
menziesii,-122.3208333,44.69583333
menziesii,-122.3291667,47.60416667
menziesii,-122.3375,44.40416667
menziesii,-122.3541667,49.22083333
menziesii,-122.3791667,47.8125
menziesii,-122.4125,47.57916667
menziesii,-122.4208333,47.65416667
menziesii,-122.4291667,46.5375
menziesii,-122.4291667,49.20416667
menziesii,-122.4458333,47.25416667
menziesii,-122.4625,47.44583333
menziesii,-122.4875,48.7625
menziesii,-122.5041667,49.32916667
menziesii,-122.5041667,49.50416667
menziesii,-122.5208333,47.62916667
menziesii,-122.5375,46.5625
menziesii,-122.6125,48.4375
menziesii,-122.6208333,44.85416667
menziesii,-122.6375,45.44583333
menziesii,-122.6625,45.6375
menziesii,-122.6791667,45.52083333
menziesii,-122.7041667,45.5375
menziesii,-122.7041667,45.87083333
menziesii,-122.7125,45.5375
menziesii,-122.7541667,49.12083333
menziesii,-122.7791667,47.12083333
menziesii,-122.8041667,45.72083333
menziesii,-122.8208333,45.72083333
menziesii,-122.8208333,46.29583333
menziesii,-122.8708333,49.02916667
menziesii,-122.8791667,47.07083333
menziesii,-122.8875,45.32916667
menziesii,-122.8875,47.57083333
menziesii,-122.8958333,45.24583333
menziesii,-122.8958333,47.0375
menziesii,-122.9125,47.5625
menziesii,-122.9291667,45.40416667
menziesii,-122.9291667,47.7875
menziesii,-122.9291667,49.12916667
menziesii,-122.9708333,47.37083333
menziesii,-122.9791667,44.8625
menziesii,-123.0041667,49.00416667
menziesii,-123.0041667,49.37916667
menziesii,-123.0291667,49.32083333
menziesii,-123.0458333,44.94583333
menziesii,-123.0708333,49.07916667
menziesii,-123.0791667,49.27916667
menziesii,-123.0958333,47.2125
menziesii,-123.1125,47.3375
menziesii,-123.1291667,49.25416667
menziesii,-123.1375,47.32083333
menziesii,-123.2208333,49.27916667
menziesii,-123.2541667,49.17083333
menziesii,-123.3541667,48.42916667
menziesii,-123.3708333,46.12916667
menziesii,-123.3791667,46.20416667
menziesii,-123.4041667,46.22916667
menziesii,-123.4125,45.3125
menziesii,-123.4708333,44.8375
menziesii,-123.4708333,47.99583333
menziesii,-123.5125,46.17916667
menziesii,-123.5208333,47.59583333
menziesii,-123.5375,45.67916667
menziesii,-123.5791667,48.07916667
menziesii,-123.5875,47.00416667
menziesii,-123.6041667,46.97916667
menziesii,-123.6125,47.80416667
menziesii,-123.6291667,45.49583333
menziesii,-123.6291667,48.65416667
menziesii,-123.6708333,46.37916667
menziesii,-123.6791667,45.9625
menziesii,-123.6875,45.97083333
menziesii,-123.7208333,45.9875
menziesii,-123.7208333,48.92083333
menziesii,-123.7291667,45.37083333
menziesii,-123.7625,47.87916667
menziesii,-123.7791667,47.5125
menziesii,-123.8208333,45.17916667
menziesii,-123.8291667,47.07916667
menziesii,-123.8458333,47.47083333
menziesii,-123.8541667,46.42916667
menziesii,-123.8791667,45.1125
menziesii,-123.8791667,46.37916667
menziesii,-123.8875,45.20416667
menziesii,-123.8875,46.39583333
menziesii,-123.8875,46.40416667
menziesii,-123.8875,46.97916667
menziesii,-123.8958333,45.0375
menziesii,-123.8958333,45.82083333
menziesii,-123.9041667,44.90416667
menziesii,-123.9208333,44.87083333
menziesii,-123.9208333,45.42916667
menziesii,-123.9458333,45.02083333
menziesii,-123.9541667,48.77916667
menziesii,-123.9625,45.77083333
menziesii,-123.9791667,48.37916667
menziesii,-123.9791667,48.62083333
menziesii,-124.0041667,45.05416667
menziesii,-124.2208333,49.32083333
menziesii,-124.3291667,49.07916667
menziesii,-124.3375,47.75416667
menziesii,-124.8208333,49.25416667
menziesii,-125.2541667,49.35416667
menziesii,-125.2541667,50.02083333
menziesii,-125.4208333,49.22083333
menziesii,-125.4208333,49.32916667
menziesii,-126.7291667,50.12083333
menziesii,-127.3708333,50.02916667
menziesii,-127.4541667,50.37916667
menziesii,-127.5041667,50.20416667
menziesii,-128.2708333,50.72083333
menziesii,-130.0208333,54.22916667
menziesii,-131.0041667,52.42083333
menziesii,-131.6458333,55.34583333
menziesii,-131.7208333,55.5125
menziesii,-132.0708333,52.92916667
menziesii,-132.0791667,53.25416667
menziesii,-132.6041667,53.62916667
diplomenziesii,-122.4291667,43.8125
diplomenziesii,-122.5541667,43.7875
diplomenziesii,-122.5625,43.2875
diplomenziesii,-122.6291667,43.37083333
diplomenziesii,-122.6458333,43.5875
diplomenziesii,-122.6625,43.57916667
diplomenziesii,-122.7791667,41.02916667
diplomenziesii,-122.8375,39.7125
diplomenziesii,-122.8958333,43.32916667
diplomenziesii,-122.9041667,40.5125
diplomenziesii,-122.9125,40.50416667
diplomenziesii,-122.9125,43.29583333
diplomenziesii,-122.9375,40.52083333
diplomenziesii,-123.0541667,41.0875
diplomenziesii,-123.1208333,41.94583333
diplomenziesii,-123.1458333,40.40416667
diplomenziesii,-123.1458333,41.44583333
diplomenziesii,-123.1541667,42.4375
diplomenziesii,-123.2375,40.24583333
diplomenziesii,-123.2708333,40.37916667
